School Name,Address,State Name [Public School] Latest available year,Location ZIP [Public School] 2011-12,Location City [Public School] 2011-12
Expeditionary Learning School for Community Leaders,"2630 Benson Avenue, Brooklyn, NY 11214",New York,11214,BROOKLYN
FREDERICK DOUGLASS ACADEMY,"2581 Adam Clayton Powell Junior Boulevard, New York, NY 10039",Manhattan,10039,MANHATTAN
CITY COLLEGE ACADEMY OF THE ARTS,"4600 Broadway, New York, NY 10040",Manhattan,10040,MANHATTAN
WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,"511 West 182nd Street, New York, NY 10033",Manhattan,10033,MANHATTAN
EAST SIDE COMMUNITY SCHOOL,"420 East 12th Street, New York, NY 10009",Manhattan,10009,MANHATTAN
THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,"200-214 WEST 135TH STREET; Manhattan, NY 10030",Manhattan,10030,MANHATTAN
LIFE SCIENCES SECONDARY SCHOOL,"320 E 96th St, New York, NY 10128",New York,10128,MANHATTAN
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,"443 W 135th St, New York, NY 10031",Manhattan,10031,MANHATTAN
HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,"549 Audubon Ave, New York, NY 10040",Manhattan,10040,MANHATTAN
HIGH SCHOOL FOR INTERNATIONAL BUSINESS AND FINANCE,"549 AUDUBON AVENUE, Manhattan NY 10040",Manhattan,10040,MANHATTAN
MARTA VALLE HIGH SCHOOL,"145 STANTON STREET, Manhattan NY 10002",Manhattan,10002,MANHATTAN
URBAN ASSEMBLY FOR THE PERFORMING ARTS,"509 West 129th Street, New York, NY 10027",Manhattan,10027,MANHATTAN
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,"200 MONROE STREET, Manhattan NY 10002",Manhattan,10002,MANHATTAN
UNITY CENTER FOR URBAN TECHNOLOGIES,"111 EAST 33RD STREET, Manhattan NY 10016",Manhattan,10016,MANHATTAN
CENTRAL PARK EAST HIGH SCHOOL,"1573 MADISON AVENUE, Manhattan NY 10029",Manhattan,10029,MANHATTAN
MANHATTAN CENTER FOR SCIENCE AND MATH,"260 PLEASANT AVENUE, Manhattan NY 10029",Manhattan,10029,MANHATTAN
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,"120 WEST 46 STREET, Manhattan NY 10026",Manhattan,10036,MANHATTAN
EMMA LAZARUS HIGH SCHOOL,"100 HESTER STREET, Manhattan NY 10002",Manhattan,10002,MANHATTAN
NEW DESIGN HIGH SCHOOL,"350 GRAND STREET, Manhattan NY 10002",Manhattan,10002,MANHATTAN
URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,"350 Grand Street, New York, NY 10002",Manhattan,10002,MANHATTAN
HARVEY MILK HIGH SCHOOL,"2 Astor Place #3, New York, NY 10003",Manhattan,10003,MANHATTAN
URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,"26 Broadway, New York, NY 10004",Manhattan,10004,MANHATTAN
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,"90 Trinity Place, New York, NY 10006",Manhattan,10006,MANHATTAN
LANDMARK HIGH SCHOOL,"351 West 18th Street, New York, NY 10011",Manhattan,10011,MANHATTAN
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"131 Avenue of the Americas, New York, NY 10013",Manhattan,10013,MANHATTAN
FACING HISTORY SCHOOL,"525 West 50th Street, New York, NY 10019",Manhattan,10019,MANHATTAN
FOOD AND FINANCE HIGH SCHOOL,"525 West 50th Street, New York, NY 10019",Manhattan,10019,MANHATTAN
MANHATTAN BRIDGES HIGH SCHOOL,"525 West 50th Street, New York, NY 10019",Manhattan,10019,MANHATTAN
URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,"525 West 50th Street, New York, NY 10019",Manhattan,10019,MANHATTAN
VANGUARD HIGH SCHOOL,"317 East 67th Street, New York, NY 10065",Manhattan,10021,MANHATTAN
HIGH SCHOOL OF ARTS AND TECHNOLOGY,"122 Amsterdam Avenue, New York, NY 10023",Manhattan,10023,MANHATTAN
MOTT HALL HIGH SCHOOL,"6 EDGECOMBE AVENUE, Manhattan NY 10030",Manhattan,10030,MANHATTAN
GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,"501 West 165th Street, New York, NY 10032",Manhattan,10032,MANHATTAN
COALITION SCHOOL FOR SOCIAL CHANGE,"2351 1st Avenue, New York, NY 10035",Manhattan,10035,MANHATTAN
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,"525 WEST 50TH STREET, Manhattan NY 10019",New York,10019,MANHATTAN
MURRAY HILL ACADEMY,"111 EAST 33RD STREET, Manhattan NY 10016",New York,10016,MANHATTAN
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,"111 EAST 33RD STREET, Manhattan NY 10016",New York,10016,MANHATTAN
LOWER EAST SIDE PREPARATORY HIGH SCHOOL,"145 STANTON STREET, Manhattan NY 10002",New York,10002,MANHATTAN
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING AND VISUAL ARTS,"215 West 114 St, Manhattan NY 10026",New York,10026,MANHATTAN
Business of Sports School,"439 West 49th St, Manhattan NY 10019",New York,10019,MANHATTAN
"High School for Arts, Imagination and Inquiry","122 Amsterdam Avenue, New York, NY 10023",New York,10023,MANHATTAN
HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,345 East 15th Sst Manhattan NY 10003,New York,10003,MANHATTAN
HIGH SCHOOL OF ECONOMICS AND FINANCE,"100 Trinity Place, Manhattan NY 10006",New York,10006,MANHATTAN
The High School of Fashion Industries,"225 West 25th St, Manhattan NY 10011",New York,10011,MANHATTAN
MANHATTAN BUSINESS ACADEMY,"351 West 18th Street, New York, NY 10011",New York,10011,MANHATTAN
MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,"411 Pearl, Manhattan NY 10038",New York,10038,MANHATTAN
Stephen Mather  for Building Arts and Craftsmanship High School,"439 WEST 49TH STREET, Manhattan, NY 10019",New York,10019,MANHATTAN
Union Square Academy for Health Sciences,"40 Irving Place, New York, NY 10003",New York,10003,MANHATTAN
Urban Assembly Gateway School for Technology,"439 West 49th Street, New York, NY 10019",New York,10019,MANHATTAN
Urban Assembly School for Emergency Management,"411 PEARL STREET, Manhattan, NY 10038",New York,10038,ManHATTAN
Urban Assembly School for Global Commerce,"2005 Madison Avenue, New York, NY 10035",New York,10035,MANHATTAN
Urban Assembly School for Green Careers,"145 West 84th Street, New York, NY 10024",New York,10024,MANHATTAN
47 American Sign Language and English Secondary School,"225 East 23rd Street, New York, NY 10010",New York,10010,MANHATTAN
Edward A. Reynolds West Side HS,"140 West 102nd Street, New York, NY 10025",New York,10025,MANHATTAN
Renaissance Charter High School for Innovation,"410 EAST 100 STREET, Manhattan NY 10029",New York,10029,Manhattan
EAST WEST SCHOOL OF INTERNATIONAL STUDIES,"46-21 Colden Street, Flushing, NY 11355",New York,11355,Queens
QUEENS COLLEGIATE   A COLLEGE BOARD SCHOOL,"167-01 GOTHIC DRIVE; Jamaica, NY 11432",New York,11432,Queens
HIGH SCHOOL FOR ARTS AND BUSINESS,"105-25 HORACE HARDING EXPY N, Queens NY 11368",New York,11368,Queens
HILLCREST HIGH SCHOOL,"160-05 HIGHLAND AVENUE, Queens NY 11432",New York,11432,Queens
INFORMATION TECHNOLOGY HIGH SCHOOL,"21-16 44th Road, Long Island City, NY 11101",New York,11101,Queens
JOHN ADAMS HIGH SCHOOL,"101-01 ROCKAWAY BOULEVARD, Queens, NY 11417",New York,11417,Queens
"HIGH SCH CONSTRUCTION, TRADES, ENGINEERING AND ARC","94-06 104TH STREET, Queens NY 11416",New York,11416,Queens
ACADEMY OF FINANCE AND ENTERPRISE,"30-20 Thomson Avenue, Long Island City, NY 11101",New York,11101,Queens
