School Name,Address,Minutes from Grand Central Terminal,Minutes from Fulton Center,Minutes from MetroTech Center
Brooklyn School for Music and Theatrer,"883 Classon Ave, Brooklyn NY 11225",34,21,19
BROOKLYN STUDIO SECONDARY SCHOOL,"8310 21st Avenue, Brooklyn NY 11214",54,44,41
Brooklyn Theatre Arts High School,"6565 FLATLANDS AVENUE, Brooklyn NY 11236",65,54,47
BROOME STREET ACADEMY CHARTER HIGH SCHOOL,"121 AVENUE OF THE AMERICAS, Manhattan NY 10013",19,10,17
BROWNSVILLE ACADEMY HIGH SCHOOL,"1150 EAST NEW YORK AVE, BROOKLYN NY 11203",37,27,27
BUSHWICK COMMUNITY HIGH SCHOOL,"231 PALMETTO ST, BROOKLYN NY 11208",31,35,47
BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,"797 Bushwick Ave, Brooklyn NY 11221",35,31,28
BUSHWICK SCHOOL FOR SOCIAL JUSTICE,"400 IRVING AVENUE, Brooklyn NY 11237",34,47,32
Business of Sports School,"439 West 49th St, Manhattan NY 10019",15,23,30
Cambria Heights Academy,"188-4 91st Avenue, Hollis, NY 11423",51,68,67
CASCADES HIGH SCHOOL,"198 FORSYTH ST3RD FL, NEW YORK NY 10030",29,40,46
CENTRAL PARK EAST HIGH SCHOOL,"1573 MADISON AVENUE, Manhattan NY 10029",18,39,49
CHANNEL VIEW SCHOOL FOR RESEARCH,"10000 BEACH CHANNEL DR, ROCKAWAY PARK NY 10468",65,55,51
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,"131 Avenue of the Americas, New York, NY 10013",19,10,17
CITY COLLEGE ACADEMY OF THE ARTS,"4600 Broadway, New York, NY 10040",48,49,56
"City Polytechnic High School of Engineering, Architecture, and Technology","105 Tech Place, Brooklyn, NY 11201",25,12,2
CIVIC LEADERSHIP ACADEMY,"4510 94TH ST, ELMHURST NY 10460",34,46,59
CLARA BARTON HIGH SCHOOL,"901 Classon Avenue, Brooklyn, NY 11225",35,21,18
Claremont International High School,"240 East 172nd Street, Bronx, NY 10457",35,51,49
COALITION SCHOOL FOR SOCIAL CHANGE,"2351 1st Avenue, New York, NY 10035",26,46,56
COBBLE HILL SCHOOL OF AMERICAN STUDIES,"347 BALTIC STREET, Brooklyn NY 11201",26,21,14
COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,"925 Astor Avenue, Bronx, NY 10469",59,69,79
COMMUNITY HEALTH ACADEMY OF THE HEIGHTS,"504 WEST 158th ST, NEW YORK NY 11207",39,42,49
COMMUNITY SCHOOL FOR SOCIAL JUSTICE,"350 Gerard Avenue, Bronx, NY 10451",22,37,53
Comprehensive Model School Project,"580 Crotona Park South, Bronx, NY 10456",56,73,73
Cristo Rey New York High School,"112 East 106th Street, New York, NY 10029",15,29,46
CROTONA ACADEMY HIGH SCHOOL,"639 St. Anns Avenue, Bronx NY 10455",27,37,52
CROTONA INTERNATIONAL HIGH SCHOOL,"2474 CROTONA AVENUE, Bronx, NY 10458",55,69,77
Cultural Academy for the Arts and Sciences,"5800 Tilden Avenue, Brooklyn, NY 11203",60,45,45
CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,"999 JAMAICA AVE, BROOKLYN NY 10009",47,43,33
DEWITT CLINTON HIGH SCHOOL,"100 WEST MOSHOLU PARKWAY SOUTH, BRONX NY",40,55,70
DISCOVERY HIGH SCHOOL,"2780 Reservoir Avenue, Bronx, NY 10468",39,54,69
DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,"800 HOME STREET, Bronx NY 10456",45,59,69
DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,"101 Park Avenue, Brooklyn, NY, 11205",41,23,12
DREAMYARD PREPARATORY SCHOOL,"240 East 172nd Street, Bronx, NY 10457",35,51,49
Eagle Academy for Young Men,"4143 3rd Avenue, Bronx, NY 10457",57,46,61
EAGLE ACADEMY FOR YOUNG MEN II,"1137 HERKIMER ST, BROOKLYN NY 11355",41,26,23
EAST BRONX ACADEMY FOR THE FUTURE,"1716 Southern Boulevard, Bronx, NY 10460",34,52,61
EAST BROOKLYN COMMUNITY HIGH SCHOOL,"9517 KINGS HGWY, BROOKLYN NY 11221",38,46,30
EAST NEW YORK FAMILY ACADEMY,2057 LINDEN BOULEVARD; Brooklyn NY 11207,55,40,35
EAST SIDE COMMUNITY SCHOOL,"420 East 12th Street, New York, NY 10009",18,26,27
EAST WEST SCHOOL OF INTERNATIONAL STUDIES,"46-21 Colden Street, Flushing, NY 11355",48,77,73
EBC HIGH SCHOOL FOR PUBLIC SERVICE BUSHWICK,"1155 DEKALB AVENUE, Brooklyn NY 11221",34,29,29
Edward A. Reynolds West Side High School,"140 West 102nd Street, New York, NY 10025",41,39,45
EL PUENTE ACADEMY FOR PEACE AND JUSTICE,"250 HOOPER ST, BROOKLYN NY 10025",32,21,34
EMMA LAZARUS HIGH SCHOOL,"100 HESTER STREET, Manhattan NY 10002",19,18,18
Energy Tech High School,"36-41 28 St, Queens NY 11106",18,40,46
English Language Learners and International Support Preparatory Academy (ELLIS),"99 Terrace View Avenue, Bronx, NY 10463",28,62,57
ESPERANZA PREPARATORY ACADEMY,"240 EAST 109TH ST, MANHATTAN NY 10002",17,31,46
EXCELSIOR PREPARATORY HIGH SCHOOL,"143 10 SPRINGFIELD BLVD, SPRINGFIELD GARDENS NY 10463",65,56,55
EXIMIUS COLLEGE PREPARATORY ACADEMY,"1363 FULTON AVENUE, Bronx NY 10456",55,73,74
Expeditionary Learning School for Community Leaders,"2630 Benson Avenue, Brooklyn, NY 11214",63,51,49
EXPLORATIONS ACADEMY,"1619 Boston Road, Bronx, NY 10460",47,56,65
FACING HISTORY SCHOOL,"525 West 50th Street, New York, NY 10019",18,25,32
FANNIE LOU HAMER FREEDOM HIGH SCHOOL,"1021 JENNINGS STREET, Bronx NY 10460",36,56,67
FDNY High School for Fire and Life Safey,"400 Pennsylvania Ave, Brooklyn NY 11207",51,36,31
FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY,"1440 Story Avenue, Bronx, NY 10473",42,62,66
FLUSHING INTERNATIONAL HIGH SCHOOL,"144-80 Barclay Avenue, Flushing, NY 11355",46,73,69
FOOD AND FINANCE HIGH SCHOOL,"525 West 50th Street, New York, NY 10019",18,25,32
FORDHAM HIGH SCHOOL FOR THE ARTS,"500 East Fordham Road, Bronx, NY 10458",26,47,63
FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,"500 East Fordham Road, Bronx, NY 10458",26,47,63
FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,"470 JACKSON AVE, BRONX NY 11413",28,39,55
FORSYTH SATELLITE ACADEMY,"198 FORSYTH ST, NEW YORK NY 10460",17,13,12
FOUNDATIONS ACADEMY,"70 TOMPKINS AVENUE, Brooklyn NY 11206",36,32,18
FRANCES PERKINS ACADEMY,"50 Bedford Avenue, Brooklyn, NY 11222",25,32,31
Francis Lewis High School,"58-20 Utopia Parkway, Queens NY 11365",62,76,79
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,"5800 20th Ave, Brooklyn, NY 11204",49,50,40
FREDERICK DOUGLAS ACADEMY VII HIGH SCHOOL,"226 Bristol Street, Brooklyn, NY 11212",50,35,30
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,"215 WEST 114TH ST, NEW YORK NY 11207",32,34,41
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,"3630 3rd Ave, Bronx, NY 10456",51,69,65
FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,"1010 LAFAYETTE AVE, BROOKLYN NY 10473",35,27,29
FREDERICK DOUGLASS ACADEMY VI SECONDARY SCHOOL,"8-21 Bay 25th Street, Far Rockaway, NY 11691",75,63,59
George Washington Carver High School for the Sciences,"143-10 Sprinfield Blvd, Queens NY 11413",78,66,72
George Westinghouse Career and Technical Education High School,"105 Johnson Street, Brooklyn, NY 11201",25,12,2
GOTHAM PROFESSIONAL ARTS ACADEMY,"265 RALPH AVE, BROOKLYN NY 10473",37,23,20
GREAT OAKS CHARTER SCHOOL,"1 Monroe St, Manhattan NY 10002",21,13,17
GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,"223 GRAHAM AVE, BROOKLYN NY 10455",21,24,31
Gregorio Luperon High School for Science and Mathematics,"501 West 165th Street, New York, NY 10032",45,40,47
GROVER CLEVELAND HIGH SCHOOL,"21-27 HIMROD STREET, Queens NY 11385",39,42,48
HARLEM CHILDREN'S ZONE PROMISE ACADEMY I CHARTER SCHOOL,"245 West 129th Street, Manhattan 10027, Manhattan NY 10027",33,39,45
HARLEM CHILDREN'S ZONE PROMISE ACADEMY II CHARTER SCHOOL,"35 East 125th Street, Manhattan 10035, Manhattan NY 10035",20,41,51
HARLEM RENAISSANCE HIGH SCHOOL,"22 EAST 128TH ST, NEW YORK NY 11206",18,27,46
Harlem Village Academies High School,"35 West 124th Street, Manhattan NY 10027",18,28,41
HARVEY MILK HIGH SCHOOL,"2 Astor Place #3, New York, NY 10003",9,14,20
HEALTH OPPORTUNITIES HIGH SCHOOL,"350 Gerard Avenue, Bronx, NY 10451",22,37,53
"Health, Education, and Research occupations High School (H.E.R.O)","455 Southern Blvd, Bronx NY 10455",26,47,57
